"","Single-ended 12 Ave. (V)","Differential 13 - 14 Last (V)","Differential 13 - 14 Ave. (V)","Differential 13 - 14 Min. (V)","Differential 13 - 14 Max. (V)","Differential 15 - 16 Last (V)","Differential 15 - 16 Ave. (V)","Differential 15 - 16 Min. (V)","Differential 15 - 16 Max. (V)"
"00:00:00","0.029847","-0.000016","-0.000016","-0.000016","-0.000016","-0.000027","-0.000027","-0.000027","-0.000027"
"00:00:01","0.029847","-0.000015","-0.000015","-0.000015","-0.000015","-0.000028","-0.000028","-0.000028","-0.000028"
"00:00:02","0.029847","-0.000017","-0.000017","-0.000017","-0.000017","-0.000026","-0.000026","-0.000026","-0.000026"
"00:00:03","0.029852","-0.000018","-0.000018","-0.000018","-0.000018","-0.000028","-0.000028","-0.000028","-0.000028"
"00:00:04","0.029855","-0.000019","-0.000019","-0.000019","-0.000019","-0.000029","-0.000029","-0.000029","-0.000029"
"00:00:05","0.029856","-0.000020","-0.000020","-0.000020","-0.000020","-0.000028","-0.000028","-0.000028","-0.000028"
"00:00:06","0.029857","-0.000021","-0.000021","-0.000021","-0.000021","-0.000022","-0.000022","-0.000022","-0.000022"
"00:00:07","0.029862","-0.000019","-0.000019","-0.000019","-0.000019","-0.000028","-0.000028","-0.000028","-0.000028"
"00:00:08","0.029860","-0.000020","-0.000020","-0.000020","-0.000020","-0.000028","-0.000028","-0.000028","-0.000028"
"00:00:09","0.029863","-0.000022","-0.000022","-0.000022","-0.000022","-0.000027","-0.000027","-0.000027","-0.000027"
"00:00:10","0.029862","-0.000021","-0.000021","-0.000021","-0.000021","-0.000026","-0.000026","-0.000026","-0.000026"
"00:00:11","0.029768","0.000005","0.000005","0.000005","0.000005","-0.000026","-0.000026","-0.000026","-0.000026"
"00:00:12","0.029794","0.000051","0.000051","0.000051","0.000051","-0.000023","-0.000023","-0.000023","-0.000023"
"00:00:13","0.029803","0.000097","0.000097","0.000097","0.000097","-0.000019","-0.000019","-0.000019","-0.000019"
"00:00:14","0.029779","0.000124","0.000124","0.000124","0.000124","-0.000020","-0.000020","-0.000020","-0.000020"
"00:00:15","0.029784","0.000140","0.000140","0.000140","0.000140","-0.000015","-0.000015","-0.000015","-0.000015"
"00:00:16","0.029799","0.000156","0.000156","0.000156","0.000156","-0.000015","-0.000015","-0.000015","-0.000015"
"00:00:17","0.029780","0.000166","0.000166","0.000166","0.000166","-0.000012","-0.000012","-0.000012","-0.000012"
"00:00:18","0.029771","0.000163","0.000163","0.000163","0.000163","-0.000010","-0.000010","-0.000010","-0.000010"
"00:00:19","0.029795","0.000167","0.000167","0.000167","0.000167","-0.000007","-0.000007","-0.000007","-0.000007"
"00:00:20","0.029782","0.000170","0.000170","0.000170","0.000170","-0.000004","-0.000004","-0.000004","-0.000004"
"00:00:21","0.029759","0.000165","0.000165","0.000165","0.000165","-0.000003","-0.000003","-0.000003","-0.000003"
"00:00:22","0.029775","0.000154","0.000154","0.000154","0.000154","0.000001","0.000001","0.000001","0.000001"
"00:00:23","0.029781","0.000151","0.000151","0.000151","0.000151","0.000004","0.000004","0.000004","0.000004"
"00:00:24","0.029811","0.000138","0.000138","0.000138","0.000138","0.000000","0.000000","0.000000","0.000000"
"00:00:25","0.029821","0.000130","0.000130","0.000130","0.000130","-0.000005","-0.000005","-0.000005","-0.000005"
"00:00:26","0.029768","0.000125","0.000125","0.000125","0.000125","-0.000005","-0.000005","-0.000005","-0.000005"
"00:00:27","0.029754","0.000117","0.000117","0.000117","0.000117","-0.000004","-0.000004","-0.000004","-0.000004"
"00:00:28","0.029750","0.000105","0.000105","0.000105","0.000105","0.000003","0.000003","0.000003","0.000003"
"00:00:29","0.029767","0.000101","0.000101","0.000101","0.000101","0.000015","0.000015","0.000015","0.000015"
"00:00:30","0.029761","0.000098","0.000098","0.000098","0.000098","0.000031","0.000031","0.000031","0.000031"
"00:00:31","0.029752","0.000091","0.000091","0.000091","0.000091","0.000045","0.000045","0.000045","0.000045"
"00:00:32","0.029763","0.000084","0.000084","0.000084","0.000084","0.000058","0.000058","0.000058","0.000058"
"00:00:33","0.029767","0.000083","0.000083","0.000083","0.000083","0.000070","0.000070","0.000070","0.000070"
"00:00:34","0.029753","0.000079","0.000079","0.000079","0.000079","0.000084","0.000084","0.000084","0.000084"
"00:00:35","0.029760","0.000074","0.000074","0.000074","0.000074","0.000120","0.000120","0.000120","0.000120"
"00:00:36","0.029765","0.000073","0.000073","0.000073","0.000073","0.000173","0.000173","0.000173","0.000173"
"00:00:37","0.029757","0.000069","0.000069","0.000069","0.000069","0.000204","0.000204","0.000204","0.000204"
"00:00:38","0.029761","0.000063","0.000063","0.000063","0.000063","0.000205","0.000205","0.000205","0.000205"
"00:00:39","0.029772","0.000059","0.000059","0.000059","0.000059","0.000201","0.000201","0.000201","0.000201"
"00:00:40","0.029764","0.000055","0.000055","0.000055","0.000055","0.000196","0.000196","0.000196","0.000196"
"00:00:41","0.029798","0.000050","0.000050","0.000050","0.000050","0.000192","0.000192","0.000192","0.000192"
"00:00:42","0.029822","0.000048","0.000048","0.000048","0.000048","0.000187","0.000187","0.000187","0.000187"
"00:00:43","0.029805","0.000044","0.000044","0.000044","0.000044","0.000186","0.000186","0.000186","0.000186"
"00:00:44","0.029837","0.000041","0.000041","0.000041","0.000041","0.000185","0.000185","0.000185","0.000185"
